name	cluster_number	ORF	description	name_meaning
NEW1	590	YPL226W	ATP binding cassette protein; cosediments with polysomes and is required for biogenesis of the small ribosomal subunit; Asn/Gln-rich rich region supports [NU+] prion formation and susceptibility to [PSI+] prion induction	Nu+
NFI1	591	YOR156C	SUMO E3 ligase; catalyzes sumoylation of Yku70p/80p and Sir4p promoting telomere anchoring to the nuclear envelope and regulating telomerase activity; DNA-bound form catalyzes a DNA-damaged triggered sumoylation wave resulting in multisite modification of several DNA repair proteins, enhancing interactions between these proteins and accelerating repair; sumoylates Cse4p, a prerequisite for STUbL-mediated Ub-dependent degradation; role in telomere length maintenance	Neck Filament Interacting
NFT1	592	YKR103W	Putative transporter of the MRP subfamily; adjacent ORFs YKR103W and YKR104W are merged in different strain backgrounds; MRP stands for multidrug resistance-associated protein	New Full-length MRP-type Transporter
NGG1	7	YDR176W	Subunit of chromatin modifying histone acetyltransferase complexes; member of the ADA complex, the SAGA complex, and the SLIK complex; transcriptional regulator involved in glucose repression of Gal4p-regulated genes	NA
NGL2	32	YMR285C	Protein involved in 5.8S rRNA processing; Ccr4p-like RNase required for correct 3'-end formation of 5.8S rRNA at site E; similar to Ngl1p; NGL2 has a paralog, NGL3, that arose from the whole genome duplication	NA
NGR1	593	YBR212W	RNA binding protein that negatively regulates growth rate; interacts with the 3' UTR of the mitochondrial porin (POR1) mRNA and enhances its degradation; overexpression impairs mitochondrial function; interacts with Dhh1p to mediate POR1 mRNA decay; expressed in stationary phase	Negative Growth Regulatory protein
NHP10	442	YDL002C	Non-essential INO80 chromatin remodeling complex subunit; preferentially binds DNA ends, protecting them from exonucleatic cleavage; deletion affects telomere maintenance via recombination; related to mammalian high mobility group proteins	Non-Histone Protein
NHP6A	594	YPR052C	High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to chromosomes; functionally redundant with Nhp6Bp; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6A has a paralog, NHP6B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress	Non-Histone Protein
NIP100	61	YPL174C	Large subunit of the dynactin complex; dynactin is involved in partitioning the mitotic spindle between mother and daughter cells; putative ortholog of mammalian p150(glued)	Nuclear ImPort
NKP1	161	YDR383C	Central kinetochore protein and subunit of the Ctf19 complex; mutants have elevated rates of chromosome loss; orthologous to fission yeast kinetochore protein fta4	Non-essential Kinetochore Protein
NMD2	595	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	Nonsense-mediated MRNA Decay
NNF2	596	YGR089W	Protein that exhibits physical and genetic interactions with Rpb8p; Rpb8p is a subunit of RNA polymerases I, II, and III; computational analysis of large-scale protein-protein interaction data suggests a role in chromosome segregation	NA
NOP12	597	YOL041C	Nucleolar protein involved in pre-25S rRNA processing; also involved in biogenesis of large 60S ribosomal subunit; contains an RNA recognition motif (RRM); binds to Ebp2; similar to Nop13p and Nsr1p	NucleOlar Protein
NOP16	598	YER002W	Constituent of 66S pre-ribosomal particles; involved in 60S ribosomal subunit biogenesis	NucleOlar Protein
NOP6	599	YDL213C	rRNA-binding protein required for 40S ribosomal subunit biogenesis; contains an RNA recognition motif (RRM); hydrophilin essential to overcome the stress of the desiccation-rehydration process; NOP6 may be a fungal-specific gene as no homologs have been yet identified in higher eukaryotes	NucleOlar Protein
NOT3	600	YIL038C	Component of the CCR4-NOT core complex, involved in mRNA decapping; involved in transcription initiation and elongation and in mRNA degradation; conserved lysine in human homolog of Not3p and Not5p is mutated in cancers	Negative On TATA
NOT5	340	YPR072W	Component of the CCR4-NOT core complex, involved in mRNA decapping; involved intranscription initiation and elongation and in mRNA degradation; conserved lysine in human homolog of Not5p and Not3p is mutated in cancers	Negative On TATA
NPL4	601	YBR170C	Substrate-recruiting cofactor of the Cdc48p-Npl4p-Ufd1p segregase; assists Cdc48p in the dislocation of misfolded, polyubiquitinated ERAD substrates that are subsequently delivered to the proteasome for degradation; also involved in the regulated destruction of resident ER membrane proteins, such as HMG-CoA reductase (Hmg1/2p) and cytoplasmic proteins (Fbp1p); role in mobilizing membrane bound transcription factors by regulated ubiquitin/proteasome-dependent processing (RUP)	Nuclear Protein Localization
NPP1	602	YCR026C	Nucleotide pyrophosphatase/phosphodiesterase; mediates extracellular nucleotide phosphate hydrolysis along with Npp2p and Pho5p; activity and expression enhanced during conditions of phosphate starvation; involved in spore wall assembly; NPP1 has a paralog, NPP2, that arose from the whole genome duplication, and an npp1 npp2 double mutant exhibits reduced dityrosine fluorescence relative to the single mutants	ecto-Nucleotide Pyrophosphatase/Phosphodiesterase
NPR1	603	YNL183C	Protein kinase; stabilizes several plasma membrane amino acid transporters by antagonizing their ubiquitin-mediated degradation; phosphorylates Aly2p; negatively regulates Ldb19p-mediated endocytosis by phosphorylating Ldb19p; positively regulates activity of the three Mep ammonium transport proteins; mediates inhibitory phosphorylation of Mep2p and Par32p; TOR complex negatively regulates Npr1p activity; NPR1 has a paralog, PRR2, that arose from the whole genome duplication	Nitrogen Permease Reactivator
NPR2	604	YEL062W	Subunit of the Iml1p/SEACIT complex; SEACIT (Iml1p-Npr2p-Npr3p) is a subcomplex of the SEA complex, a coatomer-related complex that associates dynamically with the vacuole; Npr2p may have a structural or regulatory role, supporting Iml1p function as a GAP for the Rag family GTPase Gtr1p, and resulting in inhibition of TORC1 signaling in response to amino acid deprivation; SEACIT is required for non-nitrogen-starvation-induced autophagy; homolog of human tumor suppressor NPRL2	Nitrogen Permease Regulator
NPR3	605	YHL023C	Subunit of the Iml1p/SEACIT complex; SEACIT (Iml1p-Npr2p-Npr3p) is a subcomplex of SEAC, a coatomer-related complex that associates dynamically with the vacuole; Npr3p may have a structural or regulatory role, supporting Iml1p function as a GAP for the Rag family GTPase Gtr1p, and leading to inhibition of TORC1 signaling in response to amino acid deprivation; SEACIT is required for non-nitrogen-starvation-induced autophagy; null mutant has meiotic defects; human NPRL3 homolog	Nitrogen Permease Regulator
NPT1	606	YOR209C	Nicotinate phosphoribosyltransferase; acts in the salvage pathway of NAD+ biosynthesis; required for silencing at rDNA and telomeres and has a role in silencing at mating-type loci; localized to the nucleus	Nicotinate PhosphoribosylTransferase
NPY1	607	YGL067W	NADH diphosphatase (pyrophosphatase); hydrolyzes the pyrophosphate linkage in NADH and related nucleotides; localizes to peroxisomes; nudix hydrolase family member	NADH PYrophosphatase
NRP1	608	YDL167C	Putative RNA binding protein of unknown function; localizes to stress granules induced by glucose deprivation; predicted to be involved in ribosome biogenesis	N (asparagine)-Rich Protein
NTE1	609	YML059C	Serine esterase; homolog of human neuropathy target esterase (NTE); Nte1p-mediated phosphatidylcholine turnover influences transcription factor Opi1p localization, affecting transcriptional regulation of phospholipid biosynthesis genes	Neuropathy Target Esterase
NTO1	9	YPR031W	Subunit of the NuA3 histone acetyltransferase complex; this complex acetylates histone H3; contains PHD finger domain that interacts with methylated histone H3	NuA Three Orf
NUC1	610	YJL208C	Major mitochondrial nuclease; has RNAse and DNA endo- and exonucleolytic activities; roles in mitochondrial recombination, apoptosis and maintenance of polyploidy; involved in fragmentation of genomic DNA during PND (programmed nuclear destruction); encodes ortholog of mammalian endoG	NUClease
NUM1	61	YDR150W	Protein required for nuclear migration; component of the mitochondria-ER-cortex-ancor (MECA); required for the association of mitochondria with the cell cortex and for accurate distribution of mitochondrial network; interacts with Mdm36p to link the ER and mitochondria at the cortex; localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex	NUclear Migration
NUP100	611	YKL068W	FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; NUP100 has a paralog, NUP116, that arose from the whole genome duplication	NUclear Pore
NUP133	612	YKR082W	Subunit of Nup84p subcomplex of nuclear pore complex (NPC); contributes to nucleocytoplasmic transport, NPC biogenesis; is involved in establishment of a normal nucleocytoplasmic concentration gradient of GTPase Gsp1p; also plays roles in several processes that may require localization of genes or chromosomes at nuclear periphery, including double-strand break repair, transcription and chromatin silencing; relocalizes to cytosol in response to hypoxia; homolog of human NUP133	NUclear Pore
NUP170	613	YBL079W	Subunit of inner ring of nuclear pore complex (NPC); contributes to NPC assembly and nucleocytoplasmic transport; interacts with genomic regions that contain ribosomal protein and subtelomeric genes, where it functions in nucleosome positioning and as a repressor of transcription; both Nup170p and NUP157p are similar to human Nup155p; NUP170 has a paralog, NUP157, that arose from the whole genome duplication	NUclear Pore
NUP188	613	YML103C	Subunit of the inner ring of the nuclear pore complex (NPC); contributes to NPC organization and nucleocytoplasmic transport; homologous to human NUP188	NUclear Pore
NUP42	614	YDR192C	FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p	NUclear Pore
NUP53	72	YMR153W	FG-nucleoporin component of central core of nuclear pore complex (NPC); also part of the NPC nuclear basket; contributes directly to nucleocytoplasmic transport; involved in regulation of transcription and mitosis; induces membrane tubulation, which may contribute to nuclear pore assembly; NUP53 has a paralog, ASM4, that arose from the whole genome duplication	NUclear Pore
NUP60	615	YAR002W	FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153	NUclear Pore
NUR1	616	YDL089W	Protein involved in regulation of mitotic exit; dephosphorylation target of Cdc14p in anaphase, which promotes timely rDNA segregation and allows mitotic progression; interacts with Csm1p, Lrs4p; required for rDNA repeat stability; null mutant causes increase in unequal sister-chromatid exchange; GFP-fusion protein localizes to the nuclear periphery, possible Cdc28p substrate	NUclear Rim1
NUT1	370	YGL151W	Component of the RNA polymerase II mediator complex; mediator is required for transcriptional activation and also has a role in basal transcription	Negative regulation of URS Two
NUT2	617	YPR168W	Subunit of the RNA polymerase II mediator complex; conserved from yeast to human; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; required for transcriptional activation and has a role in basal transcription; protein abundance increases in response to DNA replication stress	Negative regulation of URS Two
OAC1	618	YKL120W	Mitochondrial inner membrane transporter; transports oxaloacetate, sulfate, thiosulfate, and isopropylmalate; member of the mitochondrial carrier family	OxaloAcetate Carrier
OAF1	619	YAL051W	Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication	Oleate-Activated transcription Factor
OCA1	620	YNL099C	Putative protein tyrosine phosphatase; required for cell cycle arrest in response to oxidative damage of DNA	Oxidant-induced Cell-cycle Arrest
OCA5	621	YHL029C	Cytoplasmic protein required for replication of Brome mosaic virus; S. cerevisiae is a model system for studying replication of positive-strand RNA viruses in their natural hosts	Oxidant-induced Cell-cycle Arrest
OLA1	622	YBR025C	P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress	Obg-Like ATPase
OPI1	623	YHL020C	Transcriptional regulator of a variety of genes; phosphorylation by protein kinase A stimulates Opi1p function in negative regulation of phospholipid biosynthetic genes; involved in telomere maintenance; null exhibits disrupted mitochondrial metabolism and low cardiolipin content, strongly correlated with overproduction of inositol; binds to phosphatidic acid	OverProducer of Inositol
OPI10	624	YOL032W	Protein with a possible role in phospholipid biosynthesis; null mutant displays an inositol-excreting phenotype that is suppressed by exogenous choline; protein abundance increases in response to DNA replication stress	OverProducer of Inositol
OPI3	625	YJR073C	Methylene-fatty-acyl-phospholipid synthase; catalyzes the last two steps in phosphatidylcholine biosynthesis; also known as phospholipid methyltransferase	OverProducer of Inositol
OPY2	626	YPR075C	Integral membrane protein that acts as a membrane anchor for Ste50p; involved in the signaling branch of the high-osmolarity glycerol (HOG) pathway and as a regulator of the filamentous growth pathway; overproduction blocks cell cycle arrest in the presence of mating pheromone; relocalizes from vacuole to plasma membrane upon DNA replication stress	Overproduction-induced Pheromone-resistant Yeast
ORC1	627	YML065W	Largest subunit of the origin recognition complex; involved in directing DNA replication by binding to replication origins; also involved in transcriptional silencing; exhibits ATPase activity; ORC1 has a paralog, SIR3, that arose from the whole genome duplication	Origin Recognition Complex
ORM1	628	YGR038W	Protein that mediates sphingolipid homeostasis; evolutionarily conserved, required for resistance to agents that induce unfolded protein response; Orm1p and Orm2p together control membrane biogenesis by coordinating lipid homeostasis with protein quality control; ORM1 has a paralog, ORM2, that arose from the whole genome duplication	NA
OST3	427	YOR085W	Gamma subunit of the oligosaccharyltransferase complex of the ER lumen; complex catalyzes asparagine-linked glycosylation of newly synthesized proteins; Ost3p is important for N-glycosylation of a subset of proteins	OligoSaccharylTransferase
OST4	629	YDL232W	Subunit of the oligosaccharyltransferase complex of the ER lumen; complex catalyzes protein asparagine-linked glycosylation; type I membrane protein required for incorporation of Ost3p or Ost6p into the OST complex	OligoSaccharylTransferase
OST5	630	YGL226C-A	Zeta subunit of the oligosaccharyltransferase complex of the ER lumen; complex catalyzes asparagine-linked glycosylation of newly synthesized proteins	OligoSaccharylTransferase
OST6	631	YML019W	Subunit of the oligosaccharyltransferase complex of the ER lumen; complex catalyzes asparagine-linked glycosylation of newly synthesized proteins; similar to and partially functionally redundant with Ost3p	OligoSaccharylTransferase
OXR1	632	YPL196W	Protein of unknown function required for oxidative damage resistance; required for normal levels of resistance to oxidative damage; null mutants are sensitive to hydrogen peroxide; member of a conserved family of proteins found in eukaryotes	OXidation Resistance
OYE2	633	YHR179W	Conserved NADPH oxidoreductase containing flavin mononucleotide (FMN); responsible for geraniol reduction into citronellol during fermentation; homologous to Oye3p with different ligand binding and catalytic properties; may be involved in sterol metabolism, oxidative stress response, and programmed cell death; protein abundance increases in response to DNA replication stress	Old Yellow Enzyme
PAC1	262	YOR269W	Involved in nuclear migration, part of the dynein/dynactin pathway; targets dynein to microtubule tips, which is necessary for sliding of microtubules along bud cortex; serves at interface between dynein's ATPase site and its microtubule binding stalk, causing individual dynein motors to remain attached to microtubules for long periods; synthetic lethal with bni1; homolog of human LIS1, mutations in which cause the severe brain disorder lissencephaly	Perish in the Absence of Cin8p
PAC10	634	YGR078C	Part of the heteromeric co-chaperone GimC/prefoldin complex; complex promotes efficient protein folding	Perish in the Absence of Cin8p
PAC11	61	YDR488C	Dynein intermediate chain, microtubule motor protein; required for intracellular transport and cell division; acts in cytoplasmic dynein pathway; forms complex with dynein light chain Dyn2p that promotes Dyn1p homodimerization and potentiates motor processivity; Dyn2p-Pac11p complex is also important for interaction of dynein motor complex with dynactin complex; forms cortical cytoplasmic microtubule capture site with Num1p; essential in the absence of CIN8	Perish in the Absence of CIN8
PAC2	635	YER007W	Microtubule effector required for tubulin heterodimer formation; binds alpha-tubulin, required for normal microtubule function, null mutant exhibits cold-sensitive microtubules and sensitivity to benomyl	Perish in the Absence of Cin8p
PAM17	636	YKR065C	Constituent of the TIM23 complex; proposed alternatively to be a component of the import motor (PAM complex) or to interact with and modulate the core TIM23 (Translocase of the Inner mitochondrial Membrane) complex; protein abundance increases in response to DNA replication stress	Presequence translocase-Associated Motor
PAN3	413	YKL025C	Essential subunit of the Pan2p-Pan3p poly(A)-ribonuclease complex; poly (A) mRNA binding subunit which recruits mRNA to the complex; the Pan2p-Pan3p complex controls poly(A) tail length and regulates the stoichiometry and activity of postreplication repair complexes	Poly(A) Nuclease
PAP2	637	YOL115W	Non-canonical poly(A) polymerase; involved in nuclear RNA degradation as a component of TRAMP; catalyzes polyadenylation of hypomodified tRNAs, and snoRNA and rRNA precursors; required for mRNA surveillance and maintenance of genome integrity, serving as a link between RNA and DNA metabolism; overlapping but non-redundant functions with Trf5p; relocalizes to cytosol in response to hypoxia	Poly(A) Polymerase
PAT1	638	YCR077C	Deadenylation-dependent mRNA-decapping factor; also required for faithful chromosome transmission, maintenance of rDNA locus stability, and protection of mRNA 3'-UTRs from trimming; associated with topoisomerase II; binds to mRNAs under glucose starvation, most often in the 3' UTR; functionally linked to Pab1p; forms cytoplasmic foci upon DNA replication stress; phosphorylation by PKA inhibits P body foci formation	Protein Associated with Topoisomerase II
PBP1	278	YGR178C	Component of glucose deprivation induced stress granules; involved in P-body-dependent granule assembly; similar to human ataxin-2; interacts with Pab1p to regulate mRNA polyadenylation; interacts with Mkt1p to regulate HO translation; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress	Pab1p-Binding Protein
PBS2	639	YJL128C	MAP kinase kinase of the HOG signaling pathway; activated under severe osmotic stress; mitophagy-specific regulator; plays a role in regulating Ty1 transposition	Polymyxin B Sensitivity
PBY1	161	YBR094W	Putative tubulin tyrosine ligase associated with P-bodies; may have a role in mRNA metabolism; yeast knockout collection strain identified as a pby1 null mutant is actually wild-type for PBY1 and deleted for mms4	P-BodY associated protein
PCA1	640	YBR295W	Cadmium transporting P-type ATPase; may also have a role in copper and iron homeostasis; stabilized by Cd binding, which prevents ubiquitination; S288C and other lab strains contain a G970R mutation which eliminates Cd transport function	P-type Cation-transporting ATPase
PCH2	641	YBR186W	Hexameric ring ATPase that remodels chromosome axis protein Hop1p; nucleolar component of the pachytene checkpoint, which prevents chromosome segregation when recombination and chromosome synapsis are defective; also represses meiotic interhomolog recombination in rDNA; required for meiotic double-stranded break formation	Pachytene CHeckpoint
PCP1	642	YGR101W	Mitochondrial serine protease; required for the processing of various mitochondrial proteins and maintenance of mitochondrial DNA and morphology; belongs to the rhomboid-GlpG superfamily of intramembrane peptidases	Processing of Cytochrome c Peroxidase
PCT1	320	YGR202C	Cholinephosphate cytidylyltransferase; a rate-determining enzyme of the CDP-choline pathway for phosphatidylcholine synthesis, inhibited by Sec14p, activated upon lipid-binding; contains an element within the regulatory domain involved in both silencing and activation of enzymatic activity	Phosphocholine CytidylylTransferase
PDA1	341	YER178W	E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex; catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA; phosphorylated; regulated by glucose; PDH complex is concentrated in spots within the mitochondrial matrix, often near the ERMES complex and near peroxisomes	Pyruvate Dehydrogenase Alpha
PDB1	643	YBR221C	E1 beta subunit of the pyruvate dehydrogenase (PDH) complex; PDH is an evolutionarily conserved multi-protein complex found in mitochondria	Pyruvate Dehydrogenase Beta subunit
PDC1	644	YLR044C	Major of three pyruvate decarboxylase isozymes; key enzyme in alcoholic fermentation; decarboxylates pyruvate to acetaldehyde; involved in amino acid catabolism; subject to glucose-, ethanol-, and autoregulation; activated by phosphorylation in response to glucose levels; N-terminally propionylated in vivo	Pyruvate DeCarboxylase
PDE2	186	YOR360C	High-affinity cyclic AMP phosphodiesterase; component of the cAMP-dependent protein kinase signaling system, protects the cell from extracellular cAMP, contains readthrough motif surrounding termination codon	PhosphoDiEsterase
PDR16	645	YNL231C	Phosphatidylinositol transfer protein (PITP); controlled by the multiple drug resistance regulator Pdr1p; localizes to lipid particles and microsomes; controls levels of various lipids, may regulate lipid synthesis; homologous to Pdr17p; protein abundance increases in response to DNA replication stress	Pleiotropic Drug Resistance
PEA2	646	YER149C	Coiled-coil 12S polarisome subunit; required for polarity establishment, apical bud growth, shmoo formation, filamentous differentiation; involved in Bni1p localization at sites of polarized growth, controlling polarized assembly of actin cables; role in apical growth affects diploid-specific bipolar bud site selection; retains Slt2p at bud tip to regulate ER inheritance; role in Ca2+ influx, cell fusion; S288C allele encoding Leu409 rather than Met linked with non-invasion	PEAnut shmoo mutant
PEF1	647	YGR058W	Penta-EF-hand protein; required for polar bud growth and cell wall abscission; binds calcium and zinc with different affinity; localizes to bud site in G1, bud neck in G2; binds to Sec31p and modulates COPII coat assembly	Penta-EF-Hand protein
PEP1	648	YBL017C	Type I transmembrane sorting receptor for multiple vacuolar hydrolases; cycles between the late-Golgi and prevacuolar endosome-like compartments	carboxyPEPtidase Y-deficient
PEP5	649	YMR231W	Histone E3 ligase, component of CORVET membrane tethering complex; peripheral vacuolar membrane protein required for protein trafficking and vacuole biogenesis; interacts with Pep7p; involved in ubiquitination and degradation of excess histones	carboxyPEPtidase Y-deficient
PEP8	650	YJL053W	Vacuolar protein component of the retromer; forms part of the multimeric membrane-associated retromer complex involved in vacuolar protein sorting along with Vps35p, Vps29p, Vps17p, and Vps5p; essential for endosome-to-Golgi retrograde protein transport; interacts with Ypt7p; protein abundance increases in response to DNA replication stress	carboxyPEPtidase Y-deficient
PER1	307	YCR044C	Protein of the endoplasmic reticulum; required for GPI-phospholipase A2 activity that remodels the GPI anchor as a prerequisite for association of GPI-anchored proteins with lipid rafts; functionally complemented by human ortholog PERLD1	protein Processing in the ER
PET123	196	YOR158W	Mitochondrial ribosomal protein of the small subunit; PET123 exhibits genetic interactions with PET122, which encodes a COX3 mRNA-specific translational activator	PETite colonies
PET130	651	YJL023C	Protein of unknown function; required for efficient 5' processing of mitochondrial tRNAs, for respiratory growth and mitochondrial genome maintenance; localizes to the matrix side of the inner mitochondrial membrane	PETite colonies
PET18	9	YCR020C	Protein of unknown function; has weak similarity to proteins involved in thiamin metabolism; expression is induced in the absence of thiamin	PETite colonies
PEX1	9	YKL197C	AAA-peroxin; heterodimerizes with AAA-peroxin Pex6p and participates in the recycling of peroxisomal signal receptor Pex5p from the peroxisomal membrane to the cystosol; induced by oleic acid and upregulated during anaerobiosis; mutations in human PEX1 can lead to severe peroxisomal disorders and early death	PEroXin
PEX10	652	YDR265W	Peroxisomal membrane E3 ubiquitin ligase; required for for Ubc4p-dependent Pex5p ubiquitination and peroxisomal matrix protein import; contains zinc-binding RING domain; mutations in human homolog cause various peroxisomal disorders	PEroXin
PEX12	9	YMR026C	C3HC4-type RING-finger peroxin and E3 ubiquitin ligase; required for peroxisome biogenesis and peroxisomal matrix protein import; forms translocation subcomplex with Pex2p and Pex10p; mutations in human homolog cause peroxisomal disorder	PEroXin
PEX14	9	YGL153W	Central component of the peroxisomal importomer complex; peroxisomal protein import machinery docking complex component; interacts with both PTS1 (Pex5p) and PTS2 (Pex7p) peroxisomal matrix protein signal recognition factors and membrane receptor Pex13p	PEroXisome related
PEX15	653	YOL044W	Tail-anchored type II integral peroxisomal membrane protein; required for peroxisome biogenesis; cells lacking Pex15p mislocalize peroxisomal matrix proteins to cytosol; overexpression results in impaired peroxisome assembly	PEroXisome related
PEX17	654	YNL214W	Membrane peroxin of the peroxisomal importomer complex; complex facilitates the import of peroxisomal matrix proteins; required for peroxisome biogenesis	PEroXisome related
PEX19	9	YDL065C	Chaperone and import receptor for newly-synthesized class I PMPs; binds peroxisomal membrane proteins (PMPs) in the cytoplasm and delivers them to the peroxisome for subsequent insertion into the peroxisomal membrane; interacts with Myo2p and contributes to peroxisome partitioning	PEroXisome related
PEX2	655	YJL210W	RING-finger peroxin and E3 ubiquitin ligase; peroxisomal membrane protein with a C-terminal zinc-binding RING domain, forms translocation subcomplex with Pex10p and Pex12p which functions in peroxisomal matrix protein import	PEroXin
PEX22	656	YAL055W	Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation	PEroXisome related
PEX29	657	YDR479C	ER-resident protein involved in peroxisomal biogenesis; ER-localized protein that associates with peroxisomes; interacts with Pex30p and reticulons Rtn1p and Yop1p to regulate peroxisome biogenesis from the ER; role in peroxisomal-destined vesicular flow from the ER; regulates peroxisomal size, number and distribution; Pex28p and Pex29p may act at steps upstream of those mediated by Pex30p, Pex31p, and Pex32p; forms ER foci upon DNA replication stress	PEroXisome related
PEX3	658	YDR329C	Peroxisomal membrane protein (PMP); required for proper localization and stability of PMPs; anchors peroxisome retention factor Inp1p at the peroxisomal membrane; interacts with Pex19p	PEroXin
PEX32	659	YBR168W	Peroxisomal integral membrane protein; involved in negative regulation of peroxisome size; partially functionally redundant with Pex31p; genetic interactions suggest action at a step downstream of steps mediated by Pex28p and Pex29p	PEroXisome related
PEX4	660	YGR133W	Peroxisomal ubiquitin conjugating enzyme; required for peroxisomal matrix protein import and peroxisome biogenesis	PEroXin
PEX5	661	YDR244W	Peroxisomal membrane signal receptor for peroxisomal matrix proteins; receptor for the C-terminal tripeptide signal sequence (PTS1) of peroxisomal matrix proteins; required for peroxisomal matrix protein import; also proposed to have PTS1-receptor independent functions	PEroXin
PEX6	9	YNL329C	AAA-peroxin; heterodimerizes with AAA-peroxin Pex1p and participates in the recycling of peroxisomal signal receptor Pex5p from the peroxisomal membrane to the cystosol; mutations in human PEX6 can lead to severe peroxisomal disorders and early death	PEroXin
PEX8	662	YGR077C	Intraperoxisomal organizer of the peroxisomal import machinery; organizes the formation of the importomer complex, bridging the docking complex with the RING finger complex; tightly associated with the lumenal face of the peroxisomal membrane; essential for peroxisome biogenesis; binds PTS1-signal receptor Pex5p, and PTS2-signal receptor Pex7p	PEroXin
PFA4	663	YOL003C	Palmitoyltransferase with autoacylation activity; required for palmitoylation of amino acid permeases containing a C-terminal Phe-Trp-Cys site; required for modification of Chs3p; member of the DHHC family of putative palmitoyltransferases	Protein Fatty Acyltransferase
PFK2	664	YMR205C	Beta subunit of heterooctameric phosphofructokinase; involved in glycolysis; indispensable for anaerobic growth; activated by fructose-2,6-bisphosphate and AMP; mutation inhibits glucose induction of cell cycle-related genes	PhosphoFructoKinase
PFS1	665	YHR185C	Sporulation protein required for prospore membrane formation; required for prospore membrane formation at selected spindle poles; ensures functionality of all four spindle pole bodies during meiosis II; not required for meiotic recombination or meiotic chromosome segregation	Prospore Formation at Spindles
PGD1	666	YGL025C	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor	PolyGlutamine Domain
PHB2	667	YGR231C	Subunit of the prohibitin complex (Phb1p-Phb2p); prohibitin is a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation; prohibitin deficiency induces a mitochondrial unfolded protein response (mtUPR)	ProHiBitin
PHO23	235	YNL097C	Component of the Rpd3L histone deacetylase complex; involved in transcriptional regulation of PHO5; affects termination of snoRNAs and cryptic unstable transcripts (CUTs); C-terminus shares significant sequence identity with the human candidate tumor suppressor p33-ING1 and its isoform ING3	PHOsphate metabolism
PHO5	668	YBR093C	Repressible acid phosphatase; 1 of 3 repressible acid phosphatases that also mediates extracellular nucleotide-derived phosphate hydrolysis; secretory pathway derived cell surface glycoprotein; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2	PHOsphate metabolism
PHO80	669	YOL001W	Cyclin; interacts with cyclin-dependent kinase Pho85p; regulates the response to nutrient levels and environmental conditions, including the response to phosphate limitation and stress-dependent calcium signaling	PHOsphate metabolism
PHO84	670	YML123C	High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity	PHOsphate metabolism
PHO86	671	YJL117W	Endoplasmic reticulum (ER) resident protein; required for ER exit of the high-affinity phosphate transporter Pho84p, specifically required for packaging of Pho84p into COPII vesicles; protein abundance increases in response to DNA replication stress	PHOsphate metabolism
